Date : 2023-01-03 02:28:22
Directory : /Users/masterfoo/bin/dpl-project
Total : 186 files,  16115 codes, 822 comments, 1007 blanks, all 17944 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| client/src/app/comments                                                                                     |          9 |        195 |         21 |         37 |        253 |
| client/src/app/comments/comment                                                                             |          3 |         31 |          5 |          8 |         44 |
| client/src/app/comments/comment-edit                                                                        |          3 |         98 |          9 |         18 |        125 |
| client/src/app/comments/comment-new                                                                         |          3 |         66 |          7 |         11 |         84 |
| client/src/app/errors                                                                                       |         12 |        177 |          8 |         45 |        230 |
| client/src/app/errors/not-found                                                                             |          4 |         41 |          1 |         12 |         54 |
| client/src/app/errors/server-error                                                                          |          4 |         51 |          0 |         13 |         64 |
| client/src/app/errors/test-errors                                                                           |          4 |         85 |          7 |         20 |        112 |
| client/src/app/file-upload                                                                                  |          3 |         73 |         18 |         11 |        102 |
| client/src/app/home                                                                                         |          3 |         41 |          5 |         10 |         56 |
| client/src/app/nav                                                                                          |          3 |        107 |         30 |         14 |        151 |
| client/src/app/projects                                                                                     |         12 |        282 |         35 |         49 |        366 |
| client/src/app/projects/project-card                                                                        |          3 |         28 |          3 |          7 |         38 |
| client/src/app/projects/project-info                                                                        |          3 |        193 |         24 |         26 |        243 |
| client/src/app/projects/project-info-name                                                                   |          3 |         34 |          2 |          7 |         43 |
| client/src/app/projects/project-list                                                                        |          3 |         27 |          6 |          9 |         42 |
| client/src/app/register                                                                                     |          3 |         44 |         11 |         13 |         68 |
| client/src/app/route-redirect                                                                               |          3 |         24 |          1 |          8 |         33 |
| client/src/app/stats                                                                                        |          3 |         12 |          0 |          7 |         19 |
| client/src/app/users                                                                                        |         12 |        296 |         83 |         48 |        427 |
| client/src/app/users/user-card                                                                              |          3 |         69 |          5 |         14 |         88 |
| client/src/app/users/user-edit                                                                              |          3 |        104 |         22 |         14 |        140 |
| client/src/app/users/user-list                                                                              |          3 |         25 |         29 |         10 |         64 |
| client/src/app/users/user-profile                                                                           |          3 |         98 |         27 |         10 |        135 |
| client/src/environments                                                                                     |          2 |          8 |         11 |          4 |         23 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                    | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/masterfoo/bin/dpl-project/API/.config/dotnet-tools.json                                              | JSON               |         12 |          0 |          0 |         12 |
| /Users/masterfoo/bin/dpl-project/API/API.csproj                                                             | XML                |         20 |          0 |          4 |         24 |
| /Users/masterfoo/bin/dpl-project/API/Controllers/AccountController.cs                                       | C#                 |         73 |          8 |         12 |         93 |
| /Users/masterfoo/bin/dpl-project/API/Controllers/BaseApiController.cs                                       | C#                 |         13 |          0 |          2 |         15 |
| /Users/masterfoo/bin/dpl-project/API/Controllers/BugController.cs                                           | C#                 |        104 |         36 |         18 |        158 |
| /Users/masterfoo/bin/dpl-project/API/Controllers/CommentController.cs                                       | C#                 |         72 |         25 |         14 |        111 |
| /Users/masterfoo/bin/dpl-project/API/Controllers/ErrorController.cs                                         | C#                 |         46 |          9 |         10 |         65 |
| /Users/masterfoo/bin/dpl-project/API/Controllers/FileUploadController.cs                                    | C#                 |         75 |          6 |         11 |         92 |
| /Users/masterfoo/bin/dpl-project/API/Controllers/ProjectController.cs                                       | C#                 |         58 |          9 |          9 |         76 |
| /Users/masterfoo/bin/dpl-project/API/Controllers/UsersAssignedController.cs                                 | C#                 |         36 |         34 |          6 |         76 |
| /Users/masterfoo/bin/dpl-project/API/Controllers/UsersController.cs                                         | C#                 |         65 |         38 |         21 |        124 |
| /Users/masterfoo/bin/dpl-project/API/CustomMiddleware/ExceptionMiddleware.cs                                | C#                 |         46 |          0 |          5 |         51 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/BugDto.cs                                                         | C#                 |         23 |          3 |          2 |         28 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/BugEditDto.cs                                                     | C#                 |         21 |          0 |          2 |         23 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/CommentDto.cs                                                     | C#                 |         13 |          3 |          2 |         18 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/CommentEditDto.cs                                                 | C#                 |         13 |          0 |          2 |         15 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/LoginDto.cs                                                       | C#                 |         24 |          0 |          3 |         27 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/ProjectDto.cs                                                     | C#                 |         19 |          4 |          2 |         25 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/ProjectEditDto.cs                                                 | C#                 |         18 |          1 |          1 |         20 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/RegisterDto.cs                                                    | C#                 |         25 |          1 |          3 |         29 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/UserDto.cs                                                        | C#                 |         12 |          0 |          1 |         13 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/UserUpdateDto.cs                                                  | C#                 |         12 |          0 |          2 |         14 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/UsersAssignedDto.cs                                               | C#                 |         14 |          0 |          1 |         15 |
| /Users/masterfoo/bin/dpl-project/API/DTOs/UsersDto.cs                                                       | C#                 |         19 |          4 |          2 |         25 |
| /Users/masterfoo/bin/dpl-project/API/Data/BugRepository.cs                                                  | C#                 |         63 |         25 |         15 |        103 |
| /Users/masterfoo/bin/dpl-project/API/Data/CommentRepository.cs                                              | C#                 |         39 |         30 |         12 |         81 |
| /Users/masterfoo/bin/dpl-project/API/Data/DataContext.cs                                                    | C#                 |         16 |          2 |          4 |         22 |
| /Users/masterfoo/bin/dpl-project/API/Data/ProjectRepository.cs                                              | C#                 |         57 |         17 |         12 |         86 |
| /Users/masterfoo/bin/dpl-project/API/Data/ProjectSeedData.json                                              | JSON               |        128 |          0 |          0 |        128 |
| /Users/masterfoo/bin/dpl-project/API/Data/UserRepository.cs                                                 | C#                 |         57 |         19 |         12 |         88 |
| /Users/masterfoo/bin/dpl-project/API/Data/UserSeedData.json                                                 | JSON               |         35 |          0 |          0 |         35 |
| /Users/masterfoo/bin/dpl-project/API/Data/UsersAssignedRepository.cs                                        | C#                 |         43 |         12 |         10 |         65 |
| /Users/masterfoo/bin/dpl-project/API/Entities/AppUser.cs                                                    | C#                 |         20 |          8 |          3 |         31 |
| /Users/masterfoo/bin/dpl-project/API/Entities/Bug.cs                                                        | C#                 |         21 |          3 |          2 |         26 |
| /Users/masterfoo/bin/dpl-project/API/Entities/Comment.cs                                                    | C#                 |         13 |          3 |          2 |         18 |
| /Users/masterfoo/bin/dpl-project/API/Entities/Message.cs                                                    | C#                 |          0 |         17 |          0 |         17 |
| /Users/masterfoo/bin/dpl-project/API/Entities/Project.cs                                                    | C#                 |         17 |          4 |          2 |         23 |
| /Users/masterfoo/bin/dpl-project/API/Entities/UsersAssigned.cs                                              | C#                 |         13 |          2 |          2 |         17 |
| /Users/masterfoo/bin/dpl-project/API/Errors/ApiException.cs                                                 | C#                 |         19 |          0 |          2 |         21 |
| /Users/masterfoo/bin/dpl-project/API/Extensions/ApplicationServiceExtensions.cs                             | C#                 |         31 |          0 |          3 |         34 |
| /Users/masterfoo/bin/dpl-project/API/Extensions/DateTimeExtensions.cs                                       | C#                 |         15 |          0 |          2 |         17 |
| /Users/masterfoo/bin/dpl-project/API/Extensions/IdentityServiceExtensions.cs                                | C#                 |         30 |          0 |          2 |         32 |
| /Users/masterfoo/bin/dpl-project/API/HelperFunctions/AutoMapperProfiles.cs                                  | C#                 |         32 |         13 |         12 |         57 |
| /Users/masterfoo/bin/dpl-project/API/HelperFunctions/FormatName.cs                                          | C#                 |         17 |          2 |          0 |         19 |
| /Users/masterfoo/bin/dpl-project/API/HelperFunctions/ParseSeedData.cs                                       | C#                 |         42 |          2 |         12 |         56 |
| /Users/masterfoo/bin/dpl-project/API/Interfaces/IBugRepository.cs                                           | C#                 |         17 |          1 |         10 |         28 |
| /Users/masterfoo/bin/dpl-project/API/Interfaces/ICommentRepository.cs                                       | C#                 |         13 |          5 |         11 |         29 |
| /Users/masterfoo/bin/dpl-project/API/Interfaces/IProjectRepository.cs                                       | C#                 |         16 |          0 |          9 |         25 |
| /Users/masterfoo/bin/dpl-project/API/Interfaces/ITokenService.cs                                            | C#                 |         12 |          1 |          1 |         14 |
| /Users/masterfoo/bin/dpl-project/API/Interfaces/IUserRepository.cs                                          | C#                 |         16 |          0 |          9 |         25 |
| /Users/masterfoo/bin/dpl-project/API/Interfaces/IUsersAssignedRepository.cs                                 | C#                 |         13 |          0 |          6 |         19 |
| /Users/masterfoo/bin/dpl-project/API/Migrations/20230102211454_TestingDatabase.Designer.cs                  | C#                 |        190 |          1 |         72 |        263 |
| /Users/masterfoo/bin/dpl-project/API/Migrations/20230102211454_TestingDatabase.cs                           | C#                 |        161 |          0 |         16 |        177 |
| /Users/masterfoo/bin/dpl-project/API/Migrations/DataContextModelSnapshot.cs                                 | C#                 |        188 |          1 |         72 |        261 |
| /Users/masterfoo/bin/dpl-project/API/Program.cs                                                             | C#                 |         42 |          4 |          8 |         54 |
| /Users/masterfoo/bin/dpl-project/API/Properties/launchSettings.json                                         | JSON               |         31 |          0 |          1 |         32 |
| /Users/masterfoo/bin/dpl-project/API/Services/TokenService.cs                                               | C#                 |         40 |          2 |          7 |         49 |
| /Users/masterfoo/bin/dpl-project/API/Startup.cs                                                             | C#                 |         68 |          4 |         13 |         85 |
| /Users/masterfoo/bin/dpl-project/API/appsettings.Development.json                                           | JSON               |         13 |          0 |          1 |         14 |
| /Users/masterfoo/bin/dpl-project/API/dpl-project.db                                                         | Database           |        107 |          0 |          6 |        113 |
| /Users/masterfoo/bin/dpl-project/client/README.md                                                           | Markdown           |         14 |          0 |         14 |         28 |
| /Users/masterfoo/bin/dpl-project/client/angular.json                                                        | JSON               |        111 |          0 |          0 |        111 |
| /Users/masterfoo/bin/dpl-project/client/karma.conf.js                                                       | JavaScript         |         37 |          6 |          2 |         45 |
| /Users/masterfoo/bin/dpl-project/client/package-lock.json                                                   | JSON               |     10,744 |          0 |          1 |     10,745 |
| /Users/masterfoo/bin/dpl-project/client/package.json                                                        | JSON               |         48 |          0 |          1 |         49 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_guards/auth.guard.spec.ts                                  | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_guards/auth.guard.ts                                       | TypeScript         |         21 |          5 |          5 |         31 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_interceptors/error.interceptor.spec.ts                     | TypeScript         |         13 |          0 |          4 |         17 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_interceptors/error.interceptor.ts                          | TypeScript         |         63 |         11 |         13 |         87 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_interceptors/jwt.interceptor.spec.ts                       | TypeScript         |         13 |          0 |          4 |         17 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_interceptors/jwt.interceptor.ts                            | TypeScript         |         27 |          0 |          6 |         33 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_models/appBug.ts                                           | TypeScript         |         18 |          0 |          2 |         20 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_models/appBugNew.ts                                        | TypeScript         |         17 |          1 |          2 |         20 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_models/appProject.ts                                       | TypeScript         |         14 |          2 |          4 |         20 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_models/appUser.ts                                          | TypeScript         |         15 |          0 |          2 |         17 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_models/bugImageIndex.ts                                    | TypeScript         |          4 |          3 |          0 |          7 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_models/bugsAssigned.ts                                     | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_models/comment.ts                                          | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_models/commentNew.ts                                       | TypeScript         |          8 |          1 |          2 |         11 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_models/user.ts                                             | TypeScript         |          4 |          0 |          0 |          4 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_models/usersAssigned.ts                                    | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_modules/shared.module.ts                                   | TypeScript         |         25 |          1 |          2 |         28 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_services/account.service.ts                                | TypeScript         |         44 |          5 |          7 |         56 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_services/authorization.service.ts                          | TypeScript         |         68 |          9 |         13 |         90 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_services/bugs.service.ts                                   | TypeScript         |         22 |          2 |          7 |         31 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_services/comments.service.ts                               | TypeScript         |         22 |          2 |          7 |         31 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_services/file-upload.service.ts                            | TypeScript         |         23 |          4 |          8 |         35 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_services/helper-fn.service.ts                              | TypeScript         |         34 |          0 |         10 |         44 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_services/projects.service.ts                               | TypeScript         |         27 |          2 |          9 |         38 |
| /Users/masterfoo/bin/dpl-project/client/src/app/_services/users.service.ts                                  | TypeScript         |         37 |         38 |         10 |         85 |
| /Users/masterfoo/bin/dpl-project/client/src/app/app-routing.module.ts                                       | TypeScript         |         47 |         16 |         11 |         74 |
| /Users/masterfoo/bin/dpl-project/client/src/app/app.component.css                                           | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/app.component.html                                          | HTML               |          5 |          0 |          2 |          7 |
| /Users/masterfoo/bin/dpl-project/client/src/app/app.component.spec.ts                                       | TypeScript         |         31 |          0 |          5 |         36 |
| /Users/masterfoo/bin/dpl-project/client/src/app/app.component.ts                                            | TypeScript         |         41 |         11 |          8 |         60 |
| /Users/masterfoo/bin/dpl-project/client/src/app/app.module.ts                                               | TypeScript         |         84 |          2 |          2 |         88 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-card/bug-card.component.css                        | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-card/bug-card.component.html                       | HTML               |         63 |          1 |          0 |         64 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-card/bug-card.component.ts                         | TypeScript         |        111 |         11 |         21 |        143 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-edit/bug-edit.component.css                        | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-edit/bug-edit.component.html                       | HTML               |         31 |          3 |          5 |         39 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-edit/bug-edit.component.ts                         | TypeScript         |         61 |          8 |          9 |         78 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-info/bug-info.component.css                        | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-info/bug-info.component.html                       | HTML               |         51 |         12 |          2 |         65 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-info/bug-info.component.ts                         | TypeScript         |        131 |         15 |         17 |        163 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-list/bug-list.component.css                        | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-list/bug-list.component.html                       | HTML               |          7 |          0 |          1 |          8 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-list/bug-list.component.ts                         | TypeScript         |         23 |          1 |          6 |         30 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-new/bug-new.component.css                          | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-new/bug-new.component.html                         | HTML               |         22 |          1 |          0 |         23 |
| /Users/masterfoo/bin/dpl-project/client/src/app/bugs/bug-new/bug-new.component.ts                           | TypeScript         |         57 |          3 |         10 |         70 |
| /Users/masterfoo/bin/dpl-project/client/src/app/comments/comment-edit/comment-edit.component.css            | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/comments/comment-edit/comment-edit.component.html           | HTML               |         23 |          2 |          1 |         26 |
| /Users/masterfoo/bin/dpl-project/client/src/app/comments/comment-edit/comment-edit.component.ts             | TypeScript         |         75 |          7 |         16 |         98 |
| /Users/masterfoo/bin/dpl-project/client/src/app/comments/comment-new/comment-new.component.css              | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/comments/comment-new/comment-new.component.html             | HTML               |         15 |          1 |          0 |         16 |
| /Users/masterfoo/bin/dpl-project/client/src/app/comments/comment-new/comment-new.component.ts               | TypeScript         |         51 |          6 |         10 |         67 |
| /Users/masterfoo/bin/dpl-project/client/src/app/comments/comment/comment.component.css                      | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/comments/comment/comment.component.html                     | HTML               |          1 |          1 |          1 |          3 |
| /Users/masterfoo/bin/dpl-project/client/src/app/comments/comment/comment.component.ts                       | TypeScript         |         30 |          4 |          6 |         40 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/not-found/not-found.component.css                    | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/not-found/not-found.component.html                   | HTML               |          9 |          1 |          0 |         10 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/not-found/not-found.component.spec.ts                | TypeScript         |         20 |          0 |          6 |         26 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/not-found/not-found.component.ts                     | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/server-error/server-error.component.css              | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/server-error/server-error.component.html             | HTML               |         15 |          0 |          1 |         16 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/server-error/server-error.component.spec.ts          | TypeScript         |         20 |          0 |          6 |         26 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/server-error/server-error.component.ts               | TypeScript         |         16 |          0 |          5 |         21 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/test-errors/test-errors.component.css                | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/test-errors/test-errors.component.html               | HTML               |         12 |          0 |          2 |         14 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/test-errors/test-errors.component.spec.ts            | TypeScript         |         20 |          0 |          6 |         26 |
| /Users/masterfoo/bin/dpl-project/client/src/app/errors/test-errors/test-errors.component.ts                 | TypeScript         |         53 |          7 |         11 |         71 |
| /Users/masterfoo/bin/dpl-project/client/src/app/file-upload/file-upload.component.css                       | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/file-upload/file-upload.component.html                      | HTML               |          3 |          6 |          3 |         12 |
| /Users/masterfoo/bin/dpl-project/client/src/app/file-upload/file-upload.component.ts                        | TypeScript         |         70 |         12 |          7 |         89 |
| /Users/masterfoo/bin/dpl-project/client/src/app/home/home.component.css                                     | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/home/home.component.html                                    | HTML               |         19 |          0 |          1 |         20 |
| /Users/masterfoo/bin/dpl-project/client/src/app/home/home.component.ts                                      | TypeScript         |         22 |          5 |          8 |         35 |
| /Users/masterfoo/bin/dpl-project/client/src/app/nav/nav.component.css                                       | CSS                |          3 |          0 |          0 |          3 |
| /Users/masterfoo/bin/dpl-project/client/src/app/nav/nav.component.html                                      | HTML               |         66 |          6 |          4 |         76 |
| /Users/masterfoo/bin/dpl-project/client/src/app/nav/nav.component.ts                                        | TypeScript         |         38 |         24 |         10 |         72 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-card/project-card.component.css            | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-card/project-card.component.html           | HTML               |         15 |          3 |          1 |         19 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-card/project-card.component.ts             | TypeScript         |         13 |          0 |          5 |         18 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-info-name/project-info-name.component.css  | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-info-name/project-info-name.component.html | HTML               |          6 |          0 |          1 |          7 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-info-name/project-info-name.component.ts   | TypeScript         |         28 |          2 |          5 |         35 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-info/project-info.component.css            | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-info/project-info.component.html           | HTML               |         66 |         10 |          2 |         78 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-info/project-info.component.ts             | TypeScript         |        127 |         14 |         23 |        164 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-list/project-list.component.css            | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-list/project-list.component.html           | HTML               |          5 |          6 |          1 |         12 |
| /Users/masterfoo/bin/dpl-project/client/src/app/projects/project-list/project-list.component.ts             | TypeScript         |         22 |          0 |          7 |         29 |
| /Users/masterfoo/bin/dpl-project/client/src/app/register/register.component.css                             | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/register/register.component.html                            | HTML               |         14 |          8 |          3 |         25 |
| /Users/masterfoo/bin/dpl-project/client/src/app/register/register.component.ts                              | TypeScript         |         30 |          3 |          9 |         42 |
| /Users/masterfoo/bin/dpl-project/client/src/app/route-redirect/route-redirect.component.css                 | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/route-redirect/route-redirect.component.html                | HTML               |          1 |          0 |          1 |          2 |
| /Users/masterfoo/bin/dpl-project/client/src/app/route-redirect/route-redirect.component.ts                  | TypeScript         |         23 |          1 |          6 |         30 |
| /Users/masterfoo/bin/dpl-project/client/src/app/stats/stats.component.css                                   | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/stats/stats.component.html                                  | HTML               |          1 |          0 |          1 |          2 |
| /Users/masterfoo/bin/dpl-project/client/src/app/stats/stats.component.ts                                    | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-card/user-card.component.css                     | CSS                |         30 |          0 |          6 |         36 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-card/user-card.component.html                    | HTML               |         14 |          3 |          1 |         18 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-card/user-card.component.ts                      | TypeScript         |         25 |          2 |          7 |         34 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-edit/user-edit.component.css                     | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-edit/user-edit.component.html                    | HTML               |         65 |         10 |          3 |         78 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-edit/user-edit.component.ts                      | TypeScript         |         39 |         12 |         10 |         61 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-list/user-list.component.css                     | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-list/user-list.component.html                    | HTML               |          5 |         12 |          1 |         18 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-list/user-list.component.ts                      | TypeScript         |         20 |         17 |          8 |         45 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-profile/user-profile.component.css               | CSS                |          0 |          0 |          1 |          1 |
| /Users/masterfoo/bin/dpl-project/client/src/app/users/user-profile/user-profile.component.html              | HTML               |         46 |         25 |          2 |         73 |
